Name: Scott Davidson
Date: 2-20-16
Time: 10:15
1008 224 -48
928 248 -88
960 288 -104
1080 280 40
1024 272 -16
1112 256 96
1056 248 96
944 248 56
936 208 72
1016 216 72
936 248 -32
1040 184 48
960 224 -72
912 288 -48
944 304 -96
1144 352 -40
1160 320 16
1144 304 176
1008 280 48
920 304 80
968 304 96
1024 304 120
880 328 -80
1072 296 -32
1048 288 -176
1000 288 -240
976 288 -64
1072 272 16
1128 352 400
1008 376 368
944 352 464
952 384 496
984 352 416
1024 320 336
1040 360 152
1040 384 48
976 288 88
928 248 0
952 208 -24
992 176 -24
976 176 -24
984 200 -48
1056 208 24
1024 240 -80
1104 264 72
1088 264 88
1008 328 104
936 280 80
992 288 136
1024 272 48
1024 168 88
1024 192 0

888 224 72
928 240 128
984 288 32
1176 264 0
1104 256 -72
984 280 -64
880 304 -152
1056 296 -88
984 336 -80
1192 280 152
1136 248 96
1008 232 136
944 208 64
960 240 40
952 264 -88
1064 280 -88
1000 240 -32
904 272 -72
1008 272 -24
1032 256 -72
1256 136 120
1224 168 24
1096 168 32
1056 176 96
984 248 144
904 360 32
968 416 48
992 424 40
968 456 -16
992 408 -160
1032 448 -240
984 384 -112
952 336 -48
992 296 88
1032 320 96
1088 368 112
1040 352 -16
968 360 24
1024 344 -24
912 272 40
968 224 16
968 248 48
936 296 -24
928 336 -112
1048 312 -64
984 336 -16
1176 320 160
1104 320 48
992 296 144
944 264 64
960 280 40
920 320 8
1072 296 24
992 288 8
936 280 -32
896 312 -152
1032 328 -72
1040 344 -48
1232 360 208
1136 296 96
1040 304 152
920 264 120
928 272 120
1032 304 8
1136 272 -8
1056 248 -40
944 216 -32
872 248 -144
1032 280 -104
1120 320 -128
1216 272 40
1104 248 80
984 264 128
904 232 96
928 200 80
1080 248 0
1112 256 -128
1104 240 8
984 256 -72
880 272 -136
968 272 -128
1136 344 -48
1208 304 88
1168 288 152
1032 312 88
952 320 152
976 408 136
944 488 -48
936 416 -144
936 288 -224
984 368 64
944 360 136
976 336 120
1056 328 248
992 328 304
968 368 440
992 336 368
1000 288 360
1016 264 344
1024 248 280
960 248 136
1064 264 80
952 336 -88
1056 376 -24
1024 328 -8
976 272 40
888 264 72
896 272 -8
1072 304 24
944 360 -40
1056 312 64
1000 280 40
960 224 112
1000 232 120
1064 272 144
880 368 -48
1008 344 -56
952 304 -144
936 272 -112
936 272 -96
1064 312 8
968 328 40
1096 288 232
960 256 32
880 224 56
960 200 40
1080 272 56
976 384 -64
